ingestion_year;ingestion_month;ingestion_day;id_mascara;ctrl_terc;estado_cli;f_vinc;genero_cli;f_nacim_cli;estado_civil;ocup;ingresos
2021;11;30;11212571;CLIENTE;ACTIVO;20180618;M;19970622;SOLTERO;EMPLEADO;5077659
2021;11;30;14666385;CLIENTE;ACTIVO;20210519;M;19930513;UNION LIBRE;EMPLEADO;1012000
2021;11;30;8336272;CLIENTE;ACTIVO;20180614;M;19791029;UNION LIBRE;EMPLEADO;2626595
2021;11;30;173269;CLIENTE;ACTIVO;20180530;M;19820213;CASADO;PROFESIONAL INDEPENDIENTE;1098722
2021;11;30;12227180;CLIENTE;ACTIVO;20180530;F;19921007;SOLTERO;NULL;1099423
2021;11;30;11333966;CLIENTE;ACTIVO;20201123;M;19910809;UNION LIBRE;EMPLEADO;1085523
2021;11;30;6065727;EXCLIENTE;INACTIVO;20181030;F;19770911;CASADO;AMA DE CASA;1014000
2021;11;30;5313991;CLIENTE;INACTIVO;20181029;F;19591017;UNION LIBRE;PENSIONADO;4499520
2021;11;30;16504754;CLIENTE;ACTIVO;20181102;M;19731124;SOLTERO;EMPLEADO;1500000
2021;11;30;12734687;CLIENTE;ACTIVO;20181031;F;19921125;SOLTERO;EMPLEADO;3485316
2021;11;30;4445282;CLIENTE;ACTIVO;20181210;F;19821105;SOLTERO;EMPLEADO;1001000
2021;11;30;10616155;CLIENTE;INACTIVO;20181022;F;19970615;SOLTERO;EMPLEADO;1786000
2021;11;30;651617;EXCLIENTE;INACTIVO;20181124;M;19750828;UNION LIBRE;EMPLEADO;782000
2021;11;30;15454200;CLIENTE;ACTIVO;20181126;F;19951023;SOLTERO;EMPLEADO;1246000
2021;11;30;12981346;EXCLIENTE;INACTIVO;20181122;F;19960621;UNION LIBRE;RENTISTA DE CAPITAL;781242
2021;11;30;9514043;CLIENTE;ACTIVO;20181203;M;19840611;UNION LIBRE;EMPLEADO;872543
2021;11;30;15018886;CLIENTE;ACTIVO;20190518;F;19981207;SOLTERO;ESTUDIANTE;1124000
2021;11;30;4631875;CLIENTE;ACTIVO;20181114;F;19610215;NULL;AMA DE CASA;734250
2021;11;30;6317480;CLIENTE;ACTIVO;20181119;F;19600613;SOLTERO;AMA DE CASA;643500
2021;11;30;7428953;EXCLIENTE;INACTIVO;20181116;F;19720913;CASADO;EMPLEADO;1456000
2021;11;30;13263562;CLIENTE;INACTIVO;20180903;F;19940419;SOLTERO;EMPLEADO;781242
2021;11;30;11210039;CLIENTE;ACTIVO;20180910;M;19970307;SOLTERO;RENTISTA DE CAPITAL;5057643
2021;11;30;12683336;CLIENTE;ACTIVO;20180821;M;20050608;SOLTERO;ESTUDIANTE;2099164
2021;11;30;12880229;CLIENTE;ACTIVO;20180822;M;19970628;SOLTERO;EMPLEADO;1200000
2021;11;30;11598792;EXCLIENTE;INACTIVO;20181001;F;19980424;DIVORCIADO;EMPLEADO;846000
2021;11;30;12444339;CLIENTE;ACTIVO;20180927;F;19970918;CASADO;EMPLEADO;1450000
2021;11;30;13038512;CLIENTE;ACTIVO;20200810;M;19970923;SOLTERO;EMPLEADO;1007000
2021;11;30;13597981;CLIENTE;INACTIVO;20181003;M;19910416;SOLTERO;EMPLEADO;1036000
2021;11;30;10645503;CLIENTE;ACTIVO;20181004;F;20000511;SOLTERO;ESTUDIANTE;1155000
2021;11;30;7621773;CLIENTE;ACTIVO;20181005;F;19721231;NULL;AMA DE CASA;1008000
2021;11;30;14119698;CLIENTE;ACTIVO;20211019;M;19981212;UNION LIBRE;EMPLEADO;781242
2021;11;30;12468411;EXCLIENTE;INACTIVO;20180921;F;19961125;SOLTERO;EMPLEADO;1271000
2021;11;30;14379518;CLIENTE;ACTIVO;20211111;F;19990210;NULL;EMPLEADO;700000
2021;11;30;14056489;CLIENTE;ACTIVO;20211111;M;19900916;SOLTERO;EMPLEADO;1200000
2021;11;30;15228985;CLIENTE;ACTIVO;20211102;M;19841015;NULL;OTRO;940000
2021;11;30;12582426;CLIENTE;ACTIVO;20211118;F;20031217;SOLTERO;ESTUDIANTE;500000
2021;11;30;10581771;CLIENTE;ACTIVO;20211025;F;20020530;SOLTERO;EMPLEADO;908600
2021;11;30;2948137;CLIENTE;INACTIVO;19911022;F;0;NO INFORMA;EMPLEADO;1535933
2021;11;30;2083161;EXCLIENTE;FALLECIDO;19740515;M;19540103;SOLTERO;EMPLEADO;1100000
2021;11;30;7679167;CLIENTE;ACTIVO;19910517;M;19520209;CASADO;PROFESIONAL INDEPENDIENTE;36522900
2021;11;30;5880335;CLIENTE;ACTIVO;19850601;F;19560327;SOLTERO;EMPLEADO;1614301
2021;11;30;7782081;CLIENTE;INACTIVO;19901011;M;19630427;SOLTERO;EMPLEADO;1000000
2021;11;30;7992082;EXCLIENTE;INACTIVO;19930101;M;19660216;CASADO;OTRO;0
2021;11;30;7781662;CLIENTE;ACTIVO;19910417;M;19630120;CASADO;RENTISTA DE CAPITAL;14643236
2021;11;30;3034156;CLIENTE;INACTIVO;19861111;F;19550821;CASADO;EMPLEADO;1456000
2021;11;30;7697398;EXCLIENTE;INACTIVO;19880303;M;19560516;NO INFORMA;NULL;0
2021;11;30;9788612;CLIENTE;ACTIVO;19861229;M;19630524;SOLTERO;EMPLEADO;5746510
2021;11;30;4429252;EXCLIENTE;INACTIVO;19931105;F;19560507;NO INFORMA;EMPLEADO;416000
2021;11;30;656011;EXCLIENTE;INACTIVO;19890715;M;19570621;NO INFORMA;NULL;0
2021;11;30;3349236;EXCLIENTE;INACTIVO;19770114;F;0;NO INFORMA;NULL;0
2021;11;30;316865;CLIENTE;ACTIVO;19860306;M;19550621;SOLTERO;PENSIONADO;8407545
2021;11;30;918245;CLIENTE;ACTIVO;19931101;M;19521019;CASADO;PENSIONADO;44483580
2021;11;30;358026;CLIENTE;ACTIVO;19840601;M;19540604;SOLTERO;EMPLEADO;7143700
2021;11;30;493950;CLIENTE;ACTIVO;19801006;M;19561112;CASADO;PENSIONADO;12058410
2021;11;30;16246580;CLIENTE;ACTIVO;20211125;F;20080423;SOLTERO;ESTUDIANTE;100000
2021;11;30;10142230;CLIENTE;ACTIVO;20211126;F;20030222;SOLTERO;EMPLEADO;908526
2021;11;30;4128825;CLIENTE;ACTIVO;19450101;F;19620613;SOLTERO;EMPLEADO;29119500
2021;11;30;5688856;CLIENTE;ACTIVO;19920226;F;19570523;SOLTERO;PENSIONADO;6399000
2021;11;30;2071110;EXCLIENTE;INACTIVO;19910419;M;0;NO INFORMA;NULL;0
2021;11;30;2258390;EXCLIENTE;INACTIVO;19930101;M;19920202;NO INFORMA;NULL;0
2021;11;30;2705446;EXCLIENTE;INACTIVO;19890601;M;19900101;NO INFORMA;NULL;0
2021;11;30;2420510;EXCLIENTE;INACTIVO;19940801;M;19460503;CASADO;EMPLEADO;2200000
2021;11;30;2385272;EXCLIENTE;INACTIVO;19710501;M;0;NO INFORMA;NULL;0
2021;11;30;10142451;CLIENTE;ACTIVO;20210812;M;20030404;NULL;ESTUDIANTE;200000
2021;11;30;6301728;CLIENTE;ACTIVO;20210831;M;19820126;SOLTERO;EMPLEADO;1200000
2021;11;30;3543919;CLIENTE;ACTIVO;20210824;F;19801003;SOLTERO;EMPLEADO;900000
2021;11;30;14784098;CLIENTE;ACTIVO;20210728;F;19931022;SOLTERO;EMPLEADO;1000000
2021;11;30;6395702;CLIENTE;ACTIVO;20210722;F;19850731;NULL;OTRO;19724670
2021;11;30;10268802;CLIENTE;ACTIVO;20210810;F;20030519;NULL;ESTUDIANTE;1000000
